inventory_id,date,retailer_id,product_id,stock_level,reorder_point
1,2024-01-01,1,53,174,45
2,2024-01-01,1,52,686,117
3,2024-01-01,1,64,800,152
4,2024-01-01,1,47,142,23
5,2024-01-01,1,56,846,213
6,2024-01-01,1,66,592,160
7,2024-01-01,1,26,544,106
8,2024-01-01,1,13,760,155
9,2024-01-01,1,11,266,57
10,2024-01-01,1,74,592,155
11,2024-01-01,1,18,728,116
12,2024-01-01,1,73,708,118
13,2024-01-01,1,20,710,123
14,2024-01-01,1,67,130,35
15,2024-01-01,1,22,680,171
16,2024-01-01,1,43,642,170
17,2024-01-01,1,9,794,142
18,2024-01-01,1,55,654,121
19,2024-01-01,1,21,584,104
20,2024-01-01,1,36,322,94
21,2024-01-01,1,37,856,152
22,2024-01-01,1,17,578,148
23,2024-01-01,1,57,106,20
24,2024-01-01,1,29,226,37
25,2024-01-01,1,60,408,84
26,2024-01-01,1,62,604,155
27,2024-01-01,1,80,958,248
28,2024-01-01,1,44,604,91
29,2024-01-01,1,10,342,102
30,2024-01-01,1,7,526,126
31,2024-01-01,1,35,594,106
32,2024-01-01,1,63,182,33
33,2024-01-01,1,40,636,129
34,2024-01-01,1,75,476,136
35,2024-01-01,1,8,786,219
36,2024-01-01,1,30,910,194
37,2024-01-01,1,79,218,58
38,2024-01-01,1,49,784,193
39,2024-01-01,2,39,243,58
40,2024-01-01,2,18,201,40
41,2024-01-01,2,32,1206,239
42,2024-01-01,2,80,171,42
43,2024-01-01,2,5,1227,298
44,2024-01-01,2,21,1380,337
45,2024-01-01,2,15,660,189
46,2024-01-01,2,30,1338,392
47,2024-01-01,2,29,786,234
48,2024-01-01,2,12,1215,289
49,2024-01-01,2,78,801,200
50,2024-01-01,2,42,948,260
51,2024-01-01,2,16,1290,273
52,2024-01-01,2,19,720,192
53,2024-01-01,2,59,477,138
54,2024-01-01,2,77,1041,257
55,2024-01-01,2,73,246,70
56,2024-01-01,2,51,438,80
57,2024-01-01,2,33,555,131
58,2024-01-01,2,3,393,66
59,2024-01-01,2,62,1062,241
60,2024-01-01,2,27,519,78
61,2024-01-01,2,38,993,155
62,2024-01-01,3,48,578,135
63,2024-01-01,3,66,240,66
64,2024-01-01,3,56,130,35
65,2024-01-01,3,78,150,28
66,2024-01-01,3,11,242,69
67,2024-01-01,3,34,784,168
68,2024-01-01,3,7,368,65
69,2024-01-01,3,76,620,159
70,2024-01-01,3,62,598,177
71,2024-01-01,3,20,944,234
72,2024-01-01,3,36,906,203
73,2024-01-01,3,68,614,178
74,2024-01-01,3,64,364,84
75,2024-01-01,3,28,554,154
76,2024-01-01,3,46,124,36
77,2024-01-01,3,71,890,146
78,2024-01-01,3,45,580,88
79,2024-01-01,3,25,980,239
80,2024-01-01,3,55,920,225
81,2024-01-01,3,63,586,134
82,2024-01-01,3,49,816,230
83,2024-01-01,3,73,544,93
84,2024-01-01,3,61,100,20
85,2024-01-01,3,35,510,146
86,2024-01-01,3,53,878,187
87,2024-01-01,3,77,790,161
88,2024-01-01,3,27,996,249
89,2024-01-01,3,33,222,63
90,2024-01-01,3,1,138,30
91,2024-01-01,3,65,294,86
92,2024-01-01,3,70,560,84
93,2024-01-01,3,51,446,105
94,2024-01-01,3,22,294,69
95,2024-01-01,3,50,430,128
96,2024-01-01,3,80,446,115
97,2024-01-01,3,42,878,228
98,2024-01-01,3,17,510,103
99,2024-01-01,3,4,132,27
100,2024-01-01,4,35,49,9
101,2024-01-01,4,22,285,48
102,2024-01-01,4,11,36,10
103,2024-01-01,4,44,291,65
104,2024-01-01,4,13,53,9
105,2024-01-01,4,15,234,48
106,2024-01-01,4,74,119,20
107,2024-01-01,4,61,202,44
108,2024-01-01,4,29,162,48
109,2024-01-01,4,72,270,54
110,2024-01-01,4,57,250,72
111,2024-01-01,4,24,95,21
112,2024-01-01,4,76,243,70
113,2024-01-01,4,62,265,62
114,2024-01-01,4,27,47,10
115,2024-01-01,4,38,286,71
116,2024-01-01,4,77,50,8
117,2024-01-01,4,43,232,58
118,2024-01-01,4,70,131,21
119,2024-01-01,4,33,260,42
120,2024-01-01,4,59,118,24
121,2024-01-01,4,53,189,45
122,2024-01-01,4,47,280,53
123,2024-01-01,4,3,78,12
124,2024-01-01,4,8,82,20
125,2024-01-01,4,71,271,49
126,2024-01-01,4,7,96,25
127,2024-01-01,4,55,183,39
128,2024-01-01,5,22,98,22
129,2024-01-01,5,16,152,30
130,2024-01-01,5,24,81,13
131,2024-01-01,5,3,57,10
132,2024-01-01,5,29,188,34
133,2024-01-01,5,49,205,59
134,2024-01-01,5,75,30,6
135,2024-01-01,5,56,216,44
136,2024-01-01,5,64,219,57
137,2024-01-01,5,45,80,15
138,2024-01-01,5,74,154,30
139,2024-01-01,5,7,225,59
140,2024-01-01,5,55,218,59
141,2024-01-01,5,9,207,38
142,2024-01-01,5,63,207,56
143,2024-01-01,5,21,227,39
144,2024-01-01,5,31,197,54
145,2024-01-01,6,2,385,101
146,2024-01-01,6,62,520,99
147,2024-01-01,6,39,556,143
148,2024-01-01,6,67,576,98
149,2024-01-01,6,35,648,142
150,2024-01-01,6,6,693,109
151,2024-01-01,6,68,106,19
152,2024-01-01,6,73,663,160
153,2024-01-01,6,8,103,27
154,2024-01-01,6,22,742,135
155,2024-01-01,6,72,240,61
156,2024-01-01,6,36,375,63
157,2024-01-01,6,7,340,70
158,2024-01-01,6,26,307,87
159,2024-01-01,6,40,555,165
160,2024-01-01,6,13,616,96
161,2024-01-01,6,19,633,112
162,2024-01-01,6,54,367,64
163,2024-01-01,6,33,747,151
164,2024-01-01,6,34,709,119
165,2024-01-01,6,27,148,40
166,2024-01-01,6,32,241,63
167,2024-01-01,6,50,534,121
168,2024-01-01,6,17,270,69
169,2024-01-01,6,51,399,99
170,2024-01-01,6,46,484,113
171,2024-01-01,6,45,153,41
172,2024-01-01,6,71,439,76
173,2024-01-01,6,12,661,132
174,2024-01-01,6,65,565,155
175,2024-01-01,6,41,523,112
176,2024-01-01,6,48,613,182
177,2024-01-01,6,69,724,148
178,2024-01-01,6,79,139,33
179,2024-01-01,6,37,276,46
180,2024-01-01,7,28,268,62
181,2024-01-01,7,71,864,191
182,2024-01-01,7,57,706,141
183,2024-01-01,7,68,102,23
184,2024-01-01,7,33,224,58
185,2024-01-01,7,16,430,98
186,2024-01-01,7,13,820,204
187,2024-01-01,7,63,374,81
188,2024-01-01,7,20,282,77
189,2024-01-01,7,14,608,157
190,2024-01-01,7,46,662,132
191,2024-01-01,7,18,960,149
192,2024-01-01,7,55,716,170
193,2024-01-01,7,10,958,233
