month,region,category,total_revenue,total_quantity,total_transactions,avg_discount,unique_retailers,unique_products
2024-01,East,Beverages,279954.29,1330,108,7.546296296296297,14,16
2024-01,East,Dairy,448836.27,1628,126,6.23015873015873,14,16
2024-01,East,Home Care,383413.28,1575,131,5.687022900763359,14,16
2024-01,East,Personal Care,285306.55,1147,102,6.029411764705882,14,15
2024-01,East,Snacks,385170.34,1454,119,6.050420168067227,14,16
2024-01,North,Beverages,885799.64,4866,393,6.145038167938932,48,16
2024-01,North,Dairy,1593159.17,5714,448,5.9375,48,16
2024-01,North,Home Care,1178739.55,4531,421,6.211401425178147,48,16
2024-01,North,Personal Care,1662376.79,5888,472,5.963983050847458,48,16
2024-01,North,Snacks,1356501.99,5080,418,6.148325358851674,48,16
2024-01,South,Beverages,561576.73,2851,269,6.933085501858736,31,16
2024-01,South,Dairy,898509.8,3222,272,6.838235294117647,31,16
2024-01,South,Home Care,679410.18,2964,266,6.390977443609023,31,16
2024-01,South,Personal Care,951420.23,3405,283,6.5371024734982335,31,16
2024-01,South,Snacks,840554.37,3192,289,6.349480968858131,31,16
2024-01,West,Beverages,542401.5599999999,2483,230,6.130434782608695,27,16
2024-01,West,Dairy,674953.98,2615,238,6.743697478991597,27,16
2024-01,West,Home Care,574615.6900000001,2359,233,6.652360515021459,27,16
2024-01,West,Personal Care,751031.24,2753,236,5.317796610169491,27,16
2024-01,West,Snacks,829170.38,2867,228,6.469298245614035,27,16
2024-02,East,Beverages,294817.7,1529,132,6.78030303030303,14,16
2024-02,East,Dairy,440758.32,1583,129,4.961240310077519,14,16
2024-02,East,Home Care,285423.59,1299,112,7.142857142857143,14,16
2024-02,East,Personal Care,385217.36,1456,127,7.362204724409449,14,16
2024-02,East,Snacks,359848.99,1458,115,6.304347826086956,14,16
2024-02,North,Beverages,702548.09,3841,372,6.841397849462366,48,16
2024-02,North,Dairy,1184375.01,4268,357,6.582633053221288,48,16
2024-02,North,Home Care,930895.59,3951,356,6.264044943820225,48,16
2024-02,North,Personal Care,1147559.02,4171,346,6.300578034682081,48,16
2024-02,North,Snacks,1066201.65,4263,354,6.624293785310734,48,16
2024-02,South,Beverages,482463.09,2549,238,6.932773109243698,31,16
2024-02,South,Dairy,897706.11,2929,259,6.467181467181467,31,16
2024-02,South,Home Care,556426.76,2476,227,6.828193832599119,31,16
2024-02,South,Personal Care,651777.2,2405,233,6.952789699570816,31,16
2024-02,South,Snacks,598554.81,2397,219,7.557077625570776,31,16
2024-02,West,Beverages,351349.47000000003,2026,209,6.363636363636363,27,16
2024-02,West,Dairy,651587.65,2263,210,6.333333333333333,27,16
2024-02,West,Home Care,574173.41,2419,218,6.513761467889908,27,16
2024-02,West,Personal Care,538897.71,2126,206,6.189320388349515,27,16
2024-02,West,Snacks,615219.89,2213,191,6.9109947643979055,27,16
2024-03,East,Beverages,282524.58,1499,111,7.657657657657658,14,16
2024-03,East,Dairy,341094.97,1501,99,6.666666666666667,14,16
2024-03,East,Home Care,431005.71,1664,110,4.863636363636363,14,16
2024-03,East,Personal Care,401704.33,1508,113,6.902654867256637,14,16
2024-03,East,Snacks,362386.37,1370,115,6.782608695652174,14,16
2024-03,North,Beverages,957225.33,5138,409,6.589242053789731,48,16
2024-03,North,Dairy,1297451.63,4773,369,6.490514905149052,48,16
2024-03,North,Home Care,1150363.76,4753,385,6.805194805194805,48,16
2024-03,North,Personal Care,1390564.07,5250,383,6.566579634464752,48,16
2024-03,North,Snacks,1224106.77,4947,385,6.181818181818182,48,16
2024-03,South,Beverages,599157.49,3103,247,6.052631578947368,31,16
2024-03,South,Dairy,864357.57,3260,274,5.675182481751825,31,16
2024-03,South,Home Care,773634.6799999999,3316,268,5.6716417910447765,31,16
2024-03,South,Personal Care,833409.15,3036,255,7.196078431372549,31,16
2024-03,South,Snacks,857096.43,3377,290,6.310344827586207,31,16
2024-03,West,Beverages,511328.41,2762,213,6.314553990610329,27,16
2024-03,West,Dairy,758450.45,2785,216,5.949074074074074,27,16
2024-03,West,Home Care,620131.7,2763,235,6.659574468085107,27,16
2024-03,West,Personal Care,815784.01,3009,238,6.449579831932773,27,16
2024-03,West,Snacks,693793.84,2644,232,6.012931034482759,27,16
2024-04,East,Beverages,270937.36,1532,109,7.110091743119266,14,16
2024-04,East,Dairy,444741.19,1641,112,6.517857142857143,14,16
2024-04,East,Home Care,336249.54,1617,111,6.486486486486487,14,16
2024-04,East,Personal Care,395232.38,1505,108,5.972222222222222,14,16
2024-04,East,Snacks,470455.74,1697,117,7.222222222222222,14,16
2024-04,North,Beverages,1095207.0,5843,391,6.508951406649617,48,16
2024-04,North,Dairy,1582726.35,5630,401,6.2094763092269325,48,16
