retailer_id,retailer_name,store_type,city,state,region,latitude,longitude,prosperity_index,premiumness_index,store_size_sqft
1,Kolkata Hypermarket 1,Hypermarket,Kolkata,West Bengal,East,22.54076,88.354261,0.753,0.765,1500
2,Lucknow Wholesale 2,Wholesale,Lucknow,Uttar Pradesh,North,26.894606,80.901953,0.484,0.412,800
3,Chennai Hypermarket 3,Hypermarket,Chennai,Tamil Nadu,South,13.113021,80.285345,0.909,0.906,10000
4,Lucknow Convenience Store 4,Convenience Store,Lucknow,Uttar Pradesh,North,26.889781,80.948823,0.551,0.472,800
5,Kolkata Kirana Store 5,Kirana Store,Kolkata,West Bengal,East,22.572418,88.384051,0.617,0.59,1500
6,Lucknow Premium Outlet 6,Premium Outlet,Lucknow,Uttar Pradesh,North,26.856439,80.90271,0.703,0.719,400
7,Mumbai Hypermarket 7,Hypermarket,Mumbai,Maharashtra,West,19.102031,72.849103,0.956,0.958,1500
8,Chennai Convenience Store 8,Convenience Store,Chennai,Tamil Nadu,South,13.112801,80.283192,0.787,0.743,5000
9,Jaipur Kirana Store 9,Kirana Store,Jaipur,Rajasthan,North,26.855209,75.845192,0.502,0.505,5000
10,Mumbai Kirana Store 10,Kirana Store,Mumbai,Maharashtra,West,19.200847,72.942442,0.721,0.702,400
11,Delhi Kirana Store 11,Kirana Store,Delhi,Delhi,North,28.644712,77.122878,0.655,0.59,800
12,Delhi Premium Outlet 12,Premium Outlet,Delhi,Delhi,North,28.671179,77.292747,0.934,0.947,800
13,Pune Wholesale 13,Wholesale,Pune,Maharashtra,West,18.565737,73.935777,0.663,0.691,1500
14,Bangalore Premium Outlet 14,Premium Outlet,Bangalore,Karnataka,South,12.915199,77.653592,0.927,0.917,800
15,Lucknow Wholesale 15,Wholesale,Lucknow,Uttar Pradesh,North,26.880553,80.979623,0.524,0.482,1500
16,Hyderabad Supermarket 16,Supermarket,Hyderabad,Telangana,South,17.356896,78.497131,0.835,0.847,200
17,Kolkata Hypermarket 17,Hypermarket,Kolkata,West Bengal,East,22.596079,88.363559,0.859,0.805,5000
18,Jaipur Wholesale 18,Wholesale,Jaipur,Rajasthan,North,26.946547,75.777008,0.549,0.518,10000
19,Lucknow Supermarket 19,Supermarket,Lucknow,Uttar Pradesh,North,26.82684,80.985171,0.593,0.558,10000
20,Ahmedabad Convenience Store 20,Convenience Store,Ahmedabad,Gujarat,West,23.056985,72.600228,0.587,0.599,400
21,Ahmedabad Convenience Store 21,Convenience Store,Ahmedabad,Gujarat,West,23.021212,72.619675,0.619,0.6,800
22,Jaipur Supermarket 22,Supermarket,Jaipur,Rajasthan,North,26.851015,75.844806,0.616,0.574,3000
23,Bangalore Hypermarket 23,Hypermarket,Bangalore,Karnataka,South,13.038122,77.646885,0.925,0.789,800
