sale_id,date,retailer_id,product_id,quantity,unit_price,revenue,discount_pct,channel
1,2024-01-01,38,54,4,151.16,604.66,10,In-Store
2,2024-01-01,59,80,11,173.46,1908.06,0,In-Store
3,2024-01-01,76,56,14,394.71,5526.0,15,In-Store
4,2024-01-01,29,44,12,82.82,993.84,0,B2B
5,2024-01-01,68,15,19,260.51,4949.77,10,In-Store
6,2024-01-01,31,19,3,380.42,1141.26,0,In-Store
7,2024-01-01,20,78,1,346.82,346.82,20,Online
8,2024-01-01,98,73,18,266.69,4800.38,10,In-Store
9,2024-01-01,57,20,2,20.48,40.96,5,In-Store
10,2024-01-01,8,76,9,79.8,718.2,5,Online
11,2024-01-01,5,58,1,378.04,378.04,5,In-Store
12,2024-01-01,79,12,25,140.53,3513.2,20,B2B
13,2024-01-01,102,71,2,412.84,825.68,0,In-Store
14,2024-01-01,61,78,14,433.52,6069.28,0,Online
15,2024-01-01,104,14,13,209.9,2728.7,0,B2B
16,2024-01-01,6,23,9,203.62,1832.62,20,B2B
17,2024-01-01,79,67,7,210.72,1475.04,5,Online
18,2024-01-01,100,53,13,281.88,3664.44,0,In-Store
19,2024-01-01,43,9,4,130.42,521.66,15,In-Store
20,2024-01-01,93,33,39,332.59,12970.85,10,In-Store
21,2024-01-01,85,75,4,385.67,1542.69,5,Online
22,2024-01-01,77,17,2,82.27,164.54,15,In-Store
23,2024-01-01,86,17,15,82.27,1234.07,15,B2B
24,2024-01-01,3,47,14,420.2,5882.8,0,In-Store
25,2024-01-01,25,63,7,397.49,2782.43,0,In-Store
26,2024-01-01,109,38,6,479.51,2877.06,0,In-Store
27,2024-01-01,17,80,24,173.46,4163.04,0,In-Store
28,2024-01-01,104,80,6,173.46,1040.76,0,Online
29,2024-01-01,87,47,12,399.19,4790.28,5,Online
30,2024-01-01,69,30,9,122.94,1106.42,20,In-Store
31,2024-01-01,87,48,28,329.77,9233.5,20,In-Store
32,2024-01-01,65,49,16,376.36,6021.76,0,In-Store
33,2024-01-01,18,78,12,346.82,4161.79,20,In-Store
34,2024-01-01,120,71,5,412.84,2064.2,0,In-Store
35,2024-01-01,98,11,5,137.51,687.55,0,Online
36,2024-01-01,117,12,15,158.09,2371.41,10,In-Store
37,2024-01-01,7,54,16,167.96,2687.36,0,Online
38,2024-01-01,48,11,6,137.51,825.06,0,In-Store
39,2024-01-01,18,19,3,304.34,913.01,20,In-Store
40,2024-01-01,58,61,9,211.85,1906.65,0,In-Store
41,2024-01-01,28,33,3,314.11,942.33,15,In-Store
42,2024-01-01,31,37,8,492.95,3943.6,0,Online
43,2024-01-01,59,80,2,138.77,277.54,20,B2B
44,2024-01-01,3,69,22,334.26,7353.72,0,In-Store
45,2024-01-01,1,55,23,118.8,2732.5,15,In-Store
46,2024-01-01,68,11,12,137.51,1650.12,0,Online
47,2024-01-01,6,61,17,201.26,3421.38,5,In-Store
48,2024-01-01,101,46,4,467.96,1871.84,0,B2B
49,2024-01-01,18,43,3,154.67,464.02,10,In-Store
50,2024-01-01,90,60,21,211.26,4436.46,0,In-Store
51,2024-01-01,5,59,5,187.84,939.2,0,In-Store
52,2024-01-01,120,41,12,342.91,4114.94,20,In-Store
53,2024-01-01,97,5,10,123.35,1233.5,0,In-Store
54,2024-01-01,16,35,11,37.64,414.02,15,Online
55,2024-01-01,44,50,3,259.54,778.63,20,In-Store
56,2024-01-01,35,67,5,221.81,1109.05,0,Online
57,2024-01-01,106,78,7,390.17,2731.18,10,In-Store
58,2024-01-01,42,11,15,116.88,1753.25,15,In-Store
59,2024-01-01,45,57,15,336.19,5042.93,10,B2B
60,2024-01-01,36,56,1,394.71,394.71,15,In-Store
61,2024-01-01,103,66,5,263.42,1317.1,0,B2B
62,2024-01-01,5,57,2,336.19,672.39,10,In-Store
63,2024-01-01,73,50,1,259.54,259.54,20,In-Store
64,2024-01-01,57,48,2,370.99,741.98,10,Online
65,2024-01-01,84,41,10,428.64,4286.4,0,In-Store
66,2024-01-01,64,24,16,441.44,7063.04,0,In-Store
67,2024-01-01,91,34,10,82.93,829.25,5,Online
68,2024-01-01,16,26,5,386.31,1931.56,20,In-Store
69,2024-01-01,12,57,12,373.55,4482.6,0,B2B
70,2024-01-01,38,70,12,101.45,1217.4,0,In-Store
71,2024-01-01,29,66,4,263.42,1053.68,0,In-Store
72,2024-01-01,4,64,9,128.04,1152.39,10,Online
73,2024-01-01,17,71,29,412.84,11972.36,0,In-Store
